timestamp,esp1,esp1_vib,esp2,esp2_vib
2025-09-14 14:52:22,Vibration: 0 | X: 1598 | Y: 1321 | Z: 1397 | Status: ACTIVE,0,Vibration: 0 | X: 1855 | Y: 1535 | Z: 1411 | Status: ACTIVE,0
2025-09-14 14:52:23,Vibration: 0 | X: 1589 | Y: 1313 | Z: 1383 | Status: ACTIVE,0,Vibration: 0 | X: 1858 | Y: 1535 | Z: 1409 | Status: ACTIVE,0
2025-09-14 14:52:25,Vibration: 0 | X: 1589 | Y: 1314 | Z: 1389 | Status: ACTIVE,0,Vibration: 0 | X: 1856 | Y: 1535 | Z: 1410 | Status: ACTIVE,0
2025-09-14 14:52:26,Vibration: 0 | X: 1555 | Y: 1200 | Z: 1333 | Status: ACTIVE,0,Vibration: 0 | X: 2045 | Y: 1577 | Z: 1280 | Status: ACTIVE,0
2025-09-14 14:52:27,Vibration: 1 | X: 1798 | Y: 1287 | Z: 1383 | Status: ACTIVE,1,Vibration: 0 | X: 1922 | Y: 1505 | Z: 1445 | Status: ACTIVE,0
2025-09-14 14:52:29,Vibration: 1 | X: 1615 | Y: 1314 | Z: 1365 | Status: ACTIVE,1,Vibration: 0 | X: 1870 | Y: 1581 | Z: 1387 | Status: ACTIVE,0
2025-09-14 14:52:30,Vibration: 1 | X: 2000 | Y: 1356 | Z: 1237 | Status: ACTIVE,1,Vibration: 0 | X: 2253 | Y: 1462 | Z: 1584 | Status: ACTIVE,0
2025-09-14 14:52:31,Vibration: 1 | X: 1614 | Y: 1331 | Z: 1328 | Status: ACTIVE,1,Vibration: 0 | X: 2253 | Y: 1462 | Z: 1584 | Status: ACTIVE,0
2025-09-14 14:52:32,Vibration: 1 | X: 1602 | Y: 1322 | Z: 1363 | Status: ACTIVE,1,Vibration: 0 | X: 1954 | Y: 1579 | Z: 1395 | Status: ACTIVE,0
2025-09-14 14:52:33,Vibration: 1 | X: 1514 | Y: 1339 | Z: 1354 | Status: ACTIVE,1,Vibration: 0 | X: 1747 | Y: 1618 | Z: 1273 | Status: ACTIVE,0
2025-09-14 14:52:35,Vibration: 1 | X: 1607 | Y: 1328 | Z: 1408 | Status: ACTIVE,1,Vibration: 0 | X: 1872 | Y: 1520 | Z: 1409 | Status: ACTIVE,0
2025-09-14 14:52:36,Vibration: 1 | X: 1611 | Y: 1328 | Z: 1360 | Status: ACTIVE,1,Vibration: 0 | X: 1853 | Y: 1535 | Z: 1405 | Status: ACTIVE,0
2025-09-14 14:52:37,Vibration: 1 | X: 1689 | Y: 1319 | Z: 1345 | Status: ACTIVE,1,Vibration: 0 | X: 2438 | Y: 1455 | Z: 1618 | Status: ACTIVE,0
2025-09-14 14:52:39,Vibration: 1 | X: 1535 | Y: 1317 | Z: 1424 | Status: ACTIVE,1,Vibration: 0 | X: 1526 | Y: 1535 | Z: 1327 | Status: ACTIVE,0
2025-09-14 14:52:40,Vibration: 1 | X: 1594 | Y: 1301 | Z: 1406 | Status: ACTIVE,1,Vibration: 0 | X: 2097 | Y: 1535 | Z: 1490 | Status: ACTIVE,0
2025-09-14 14:52:42,Vibration: 1 | X: 1599 | Y: 1310 | Z: 1378 | Status: ACTIVE,1,Vibration: 0 | X: 1762 | Y: 1526 | Z: 1392 | Status: ACTIVE,0
2025-09-14 14:52:43,Vibration: 1 | X: 1572 | Y: 1310 | Z: 1390 | Status: LOW,1,Vibration: 0 | X: 1846 | Y: 1535 | Z: 1395 | Status: ACTIVE,0
2025-09-14 14:52:44,Vibration: 1 | X: 1589 | Y: 1328 | Z: 1397 | Status: LOW,1,Vibration: 0 | X: 1846 | Y: 1535 | Z: 1395 | Status: ACTIVE,0
2025-09-14 14:52:45,Vibration: 1 | X: 1577 | Y: 1312 | Z: 1437 | Status: LOW,1,Vibration: 0 | X: 1807 | Y: 1535 | Z: 1372 | Status: ACTIVE,0
2025-09-14 14:52:47,Vibration: 1 | X: 1708 | Y: 1296 | Z: 1430 | Status: LOW,1,Vibration: 0 | X: 1911 | Y: 1506 | Z: 1439 | Status: ACTIVE,0
2025-09-14 14:52:48,Vibration: 1 | X: 1610 | Y: 1324 | Z: 1390 | Status: LOW,1,Vibration: 0 | X: 1829 | Y: 1534 | Z: 1396 | Status: ACTIVE,0
2025-09-14 14:52:49,Vibration: 1 | X: 1593 | Y: 1315 | Z: 1395 | Status: ACTIVE,1,Vibration: 0 | X: 1831 | Y: 1527 | Z: 1395 | Status: ACTIVE,0
